date,ticker,price
2024-01-01,AAPL,150.1237967693184
2024-01-02,AAPL,149.17697740464013
2024-01-03,AAPL,149.71381799249878
2024-01-04,AAPL,150.98187358929198
2024-01-05,AAPL,149.2499749011457
2024-01-06,AAPL,150.65360839754953
2024-01-07,AAPL,149.67022147550261
2024-01-08,AAPL,149.8481598626965
2024-01-09,AAPL,148.605922425928
2024-01-10,AAPL,148.9790448354597
2024-01-11,AAPL,148.43466773173662
2024-01-12,AAPL,148.74998407790696
2024-01-13,AAPL,149.09758959183782
2024-01-14,AAPL,149.3124017981643
2024-01-15,AAPL,150.41518262256156
2024-01-16,AAPL,148.8462191376033
2024-01-17,AAPL,148.54366287404702
2024-01-18,AAPL,148.4434928387079
2024-01-19,AAPL,148.28756843188378
2024-01-20,AAPL,147.65398426974375
